BST Model Scaled Impulse,,,,,,,,,,,,,,,,,
scaled_distance_Mf5.2,scaled_impulse_Mf5.2,scaled_distance_Mf4.0,scaled_impulse_Mf4.0,scaled_distance_Mf3.0,scaled_impulse_Mf3.0,scaled_distance_Mf2.0,scaled_impulse_Mf2.0,scaled_distance_Mf1.4,scaled_impulse_Mf1.4,scaled_distance_Mf1.0,scaled_impulse_Mf1.0,scaled_distance_Mf0.7,scaled_impulse_Mf0.7,scaled_distance_Mf0.35,scaled_impulse_Mf0.35,scaled_distance_Mf0.2,scaled_impulse_Mf0.2
0.638901401,0.049446195,0.664973157,0.046460997,1.053966082,0.030021024,1.053966082,0.030021024,1.791473615,0.01673328,1.053930439,0.029558609,3.332689187,0.009179497,2.699784868,0.009551771,2.540726806,0.007511178
0.638901401,0.049446195,0.70616077,0.044334978,1.130418617,0.027342573,1.130418617,0.027342573,1.921520905,0.015599376,1.085987848,0.027775329,3.468569483,0.008492451,2.924967953,0.008904109,2.540726806,0.007511178
0.685269172,0.045739168,0.749848773,0.041012993,1.237032663,0.025290394,1.237032663,0.025290394,1.921520905,0.015599376,1.130303934,0.026098458,3.68328381,0.007979019,3.075232929,0.008629975,2.725210231,0.007056753
0.713281308,0.044332979,0.820625344,0.039130978,1.326764471,0.023034005,1.326764471,0.023034005,2.081685111,0.014206971,1.130303934,0.026098458,3.990565844,0.007495952,3.265653824,0.008171406,2.922990235,0.006527702
0.742413404,0.042308153,0.871394919,0.036198924,1.394971789,0.022674099,1.394971789,0.022674099,2.232837293,0.013347453,1.188331081,0.024905337,4.237736546,0.007152943,3.331505963,0.007798895,3.042474963,0.006327017
0.804363666,0.040056419,0.925336746,0.034010431,1.466536764,0.021304243,1.466536764,0.021304243,2.347386522,0.012541066,1.188331081,0.024905337,4.499760141,0.006515057,3.398858429,0.007618714,3.198668474,0.00603777
0.837229938,0.038524767,0.925336746,0.034010431,1.526433594,0.020331211,1.526433594,0.020331211,2.492780733,0.011967197,1.261934835,0.023765688,4.730767246,0.006217214,3.573347829,0.007270415,3.39667516,0.005672742
0.854141624,0.037343743,1.002533989,0.031951367,1.526433594,0.020331211,1.526433594,0.020331211,2.673782771,0.011243184,1.261934835,0.023765688,4.973633713,0.005932987,3.719291808,0.006938352,3.535642545,0.005584357
0.89793051,0.034547163,1.002533989,0.031951367,1.604797106,0.019401746,1.604797106,0.019401746,2.810953427,0.010563927,1.326719602,0.022679212,5.17676868,0.005662009,3.949660132,0.006620859,3.606939025,0.005329783
0.963227408,0.034004297,1.053966082,0.030021024,1.65361023,0.018231233,1.65361023,0.018231233,2.92566047,0.009926154,1.380905969,0.021643381,5.442715876,0.00548769,4.194297185,0.006317894,3.754127984,0.005008009
